Disease,Positives,Negatives,AUROC,AUPRC,Acc@0.5,Prec@0.5,Rec@0.5,F1@0.5,TP,FP,TN,FN
Atelectasis,10,44,0.8568181818181818,0.7397175536881418,0.18518518518518517,0.18518518518518517,1.0,0.3125,10,44,0,0
Cardiomegaly,12,42,0.75,0.5920211567532997,0.2222222222222222,0.2222222222222222,1.0,0.36363636363636365,12,42,0,0
Consolidation,18,36,0.5385802469135803,0.42546222165650577,0.3333333333333333,0.3333333333333333,1.0,0.5,18,36,0,0
Edema,9,45,0.7308641975308642,0.46582529670764966,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,9,45,0,0
Pleural Effusion,36,18,0.6095679012345679,0.7781225524397901,0.6666666666666666,0.6666666666666666,1.0,0.8,36,18,0,0
