Disease,Positives,Negatives,AUROC,AUPRC,Acc@0.5,Prec@0.5,Rec@0.5,F1@0.5,TP,FP,TN,FN
Atelectasis,10,44,0.8295454545454546,0.638929453179759,0.18518518518518517,0.18518518518518517,1.0,0.3125,10,44,0,0
Cardiomegaly,12,42,0.7301587301587301,0.6032504711566498,0.2222222222222222,0.2222222222222222,1.0,0.36363636363636365,12,42,0,0
Consolidation,18,36,0.5570987654320987,0.4425593278681562,0.3333333333333333,0.3333333333333333,1.0,0.5,18,36,0,0
Edema,9,45,0.6345679012345679,0.41745141838621086,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,9,45,0,0
Pleural Effusion,36,18,0.6512345679012346,0.8050995102622027,0.6666666666666666,0.6666666666666666,1.0,0.8,36,18,0,0
